centro,maquina,ubicacion
AIRBUS SAN PABLO SUR,24SE1983,Comedor
AIRBUS SAN PABLO SUR,24SE1984,Comedor
AIRBUS SAN PABLO SUR,24SE1985,Comedor
AIRBUS SAN PABLO SUR,24FE1686,Comedor
AIRBUS SAN PABLO SUR,24CE5109,ITC Clientes
AIRBUS SAN PABLO SUR,24CE4829,Comedor
AIRBUS SAN PABLO SUR,24CE4828,Comedor
AIRBUS SAN PABLO SUR,24SE2138,H2 EDIFICIO D
AIRBUS SAN PABLO SUR,24SE2175,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,24SE2176,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,24SE2128,H2-00-02 TMD (Hangar)
AIRBUS SAN PABLO SUR,24SE2178,C2-00-95 Estacion 14
AIRBUS SAN PABLO SUR,24SE2136,C2-00-27 Planta Baja
AIRBUS SAN PABLO SUR,24SE2205,TORNO ENTRADA
AIRBUS SAN PABLO SUR,20SE1707,H3-AD-00
AIRBUS SAN PABLO SUR,24SE2184,H3-AD-04 Posicion 1
AIRBUS SAN PABLO SUR,24SE2179,C2-AD-01 Estacion 20
AIRBUS SAN PABLO SUR,24FE1685,Comedor
AIRBUS SAN PABLO SUR,24SE2181,H3-AD-00
AIRBUS SAN PABLO SUR,24FE1735,H1.2.AD.00 Linea de Vuelo
AIRBUS SAN PABLO SUR,24SE2180,H1.1.TL-AD-01
AIRBUS SAN PABLO SUR,24SE2200,ITC Empleados
AIRBUS SAN PABLO SUR,24FE1744,H2-00-02 TMD (Hangar)
AIRBUS SAN PABLO SUR,24SE2183,H3-AD-03 Posicion 3
AIRBUS SAN PABLO SUR,24FE1733,C2-AD-01 Estacion 20
AIRBUS SAN PABLO SUR,24SE2139,H3-AD-04 Posicion 1
AIRBUS SAN PABLO SUR,24SE2130,C2-02-29 Segunda Planta
AIRBUS SAN PABLO SUR,24FE1747,A2-02-12 Segunda Planta
AIRBUS SAN PABLO SUR,24FE1736,H3-AD-00
AIRBUS SAN PABLO SUR,24SE2140,Zona Empleados
AIRBUS SAN PABLO SUR,24SE2204,NAVE J
AIRBUS SAN PABLO SUR,24FE1746,A3-02-13 Segunda Planta
AIRBUS SAN PABLO SUR,24SE2182,H3-AD-05 Posicion 2
AIRBUS SAN PABLO SUR,24SE2177,C2-00-27 Planta Baja
AIRBUS SAN PABLO SUR,24SE2173,A2-00-12 Planta Baja
AIRBUS SAN PABLO SUR,24FE1731,A3-02-13 Primera Planta
AIRBUS SAN PABLO SUR,24FE1745,H3-AD-04 Posicion 1
AIRBUS SAN PABLO SUR,24FE1732,NAVE J
AIRBUS SAN PABLO SUR,24FE1738,H3-AD-03 Posicion 3
AIRBUS SAN PABLO SUR,24FE1729,Estacion 14 B
AIRBUS SAN PABLO SUR,24SE2174,A2-02-12 Segunda Planta
AIRBUS SAN PABLO SUR,24FE1734,H1.1.TL-AD-01
AIRBUS SAN PABLO SUR,24SE2129,A3-01-12 Primera Planta
AIRBUS SAN PABLO SUR,24SE2141,NAVE F (PINTURA)
AIRBUS SAN PABLO SUR,24SE2133,C2-02-29 Segunda Planta
AIRBUS SAN PABLO SUR,24FE1737,H3-AD-05 Posicion 2
AIRBUS SAN PABLO SUR,24SE2190,H5-00-10 Maestranza
AIRBUS SAN PABLO SUR,24FE1758,C2-00-27 Planta Baja
AIRBUS SAN PABLO SUR,24FE1768,H2-00-02 TMD (Hangar)
AIRBUS SAN PABLO SUR,24FE1760,H1.2.AD.00 Linea de Vuelo
AIRBUS SAN PABLO SUR,11FE1861,Estacion 14 B
AIRBUS SAN PABLO SUR,24FE1761,H3-AD-00
AIRBUS SAN PABLO SUR,24FE1759,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,24FE1762,C2-00-95 Estacion 14
AIRBUS SAN PABLO SUR,25FE1784,H3-AD-04 Posicion 1
AIRBUS SAN PABLO SUR,25FE1783,H1.1.TL-AD-00
AIRBUS SAN PABLO SUR,24FE1769,H5-00-10 Maestranza
AIRBUS SAN PABLO SUR,25FE1782,H3-AD-05 Posicion 2
AIRBUS SAN PABLO SUR,13FP0049,ITC Empleados
AIRBUS SAN PABLO SUR,24SE2107,C2-AD-01 Estacion 20
AIRBUS SAN PABLO SUR,24SE2109,H1.1.TL-AD-01
AIRBUS SAN PABLO SUR,24SE2067,
AIRBUS SAN PABLO SUR,24SE2083,C2-00-27 Planta Baja
AIRBUS SAN PABLO SUR,24SE2110,H3-AD-05 Posicion 2
AIRBUS SAN PABLO SUR,24SE2106,C2-00-95 Estacion 14
AIRBUS SAN PABLO SUR,24SE2068,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,24SE2070,H3-AD-04 Posicion 3
AIRBUS SAN PABLO SUR,24SE2063,C2-00-95 Estacion 14
AIRBUS SAN PABLO SUR,24SE2061,A3-02-13 Segunda Planta
AIRBUS SAN PABLO SUR,24SE2105,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,24SE2108,H3.AD.00
AIRBUS SAN PABLO SUR,24SE2084,H3-AD-00
AIRBUS SAN PABLO SUR,24SE2062,H2-00-02 TMD (Hangar)
AIRBUS SAN PABLO SUR,24SE2065,H1.1.TL-AD-01
AIRBUS SAN PABLO SUR,24SE2066,C2-AD-01 Estacion 20
AIRBUS SAN PABLO SUR,24SE2060,H5-00-10 Maestranza
AIRBUS SAN PABLO SUR,24SE2111,H3-AD-03 Posicion 3
AIRBUS SAN PABLO SUR,24SE2069,H3-AD-05 Posicion 2
AIRBUS SAN PABLO SUR,24SE2064,H1.2.AD.00 Linea de Vuelo
AIRBUS SAN PABLO SUR,24SE2104,Estacion 14 B
AIRBUS SAN PABLO SUR,24CE5046,H3-AD-04 Posición 1
AIRBUS SAN PABLO SUR,24CE5041,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,24CE5051,H3-AD-00
AIRBUS SAN PABLO SUR,24CE5045,C2-00-95 Estacion 14
AIRBUS SAN PABLO SUR,24CE5053,H3-AD-05 Posicion 2
AIRBUS SAN PABLO SUR,24CE5079,C2-02-29 Segunda Planta
AIRBUS SAN PABLO SUR,24CE5054,H3-AD-05 Posicion 2
AIRBUS SAN PABLO SUR,24CE5082,C2-00-27 Planta Baja
AIRBUS SAN PABLO SUR,24CE5044,C2-00-95 Estacion 14
AIRBUS SAN PABLO SUR,24CE5048,H1.1.TL-AD-01
AIRBUS SAN PABLO SUR,24CE5049,H1.1.TL-AD-01
AIRBUS SAN PABLO SUR,24CE4934,H3-AD-00
AIRBUS SAN PABLO SUR,24CE5047,C2-AD-01 Estacion 20
AIRBUS SAN PABLO SUR,24CE5052,H3-AD-00
AIRBUS SAN PABLO SUR,24CE5055,H3-AD-03 Posicion 3
AIRBUS SAN PABLO SUR,24CE5058,ITC Empleados
AIRBUS SAN PABLO SUR,24CE5043,C2-00-27 Planta Baja
AIRBUS SAN PABLO SUR,16CE1356,Zona Empleados
AIRBUS SAN PABLO SUR,24CE5056,H3-AD-03 Posicion 3
AIRBUS SAN PABLO SUR,24CE4932,H5-00-10
AIRBUS SAN PABLO SUR,24CE4927,A3-01-12 Primera Planta
AIRBUS SAN PABLO SUR,24CE5042,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,24CE5081,A3-02-13 Segunda Planta
AIRBUS SAN PABLO SUR,24CE5083,H2 EDIFICIO D
AIRBUS SAN PABLO SUR,24CE5078,H2-00-02 TMD (Hangar)
AIRBUS SAN PABLO SUR,24CE4929,C2-AD-01 Estacion 20
AIRBUS SAN PABLO SUR,24CE4930,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,16CE1354,H2-00-02 TMD (Hangar)
AIRBUS SAN PABLO SUR,24CE5057,H3-AD-04 Posicion 1
AIRBUS SAN PABLO SUR,24CE4931,C2-00-27 Planta Baja
AIRBUS SAN PABLO SUR,24CE4928,H1.1.TL-AD-01
AIRBUS SAN PABLO SUR,24CE4933,H3-AD-00
AIRBUS SAN PABLO SUR,24CE5050,H1.2.AD.00 Linea de Vuelo
AIRBUS SAN PABLO SUR,24CE5108,A2-02-12 Segunta Planta
AIRBUS SAN PABLO SUR,24CE5113,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,24CE5107,A2-00-12 Planta Baja
AIRBUS SAN PABLO SUR,24CE5118,EDIFICIO A-3 (OFICINAS PLANTA Baja A2-02-12)
AIRBUS SAN PABLO SUR,24CE5127,C2-00-27 Planta Baja
AIRBUS SAN PABLO SUR,20CE4540,H3.AD.00
AIRBUS SAN PABLO SUR,20CE4542,Edificio F Pintura
AIRBUS SAN PABLO SUR,15CE0895,C2-AD-01 Estacion 20
AIRBUS SAN PABLO SUR,18CE1676,C1-AD-00 Sindicatos
AIRBUS SAN PABLO SUR,14CE0059,H3-AD-00
AIRBUS SAN PABLO SUR,14CE0057,H1.1.TL-AD-01
AIRBUS SAN PABLO SUR,24FE1730,H3-AD-00
